YEAR;MO;DY;date;week;Radiation;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_RANGE;WD10M;WS50M;WS50M_RANGE;WD50M;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN
1981;3;6;06/03/1981;10;5.48;6.84;63.75;1.27;98.18;7.27;2.98;75.94;9.38;3.38;77.44;15.43;8.03;11.73;15.56;-261.68;22.81;11.34
1981;3;7;07/03/1981;10;5.66;7.2;71.94;0.16;98.56;7.51;4.7;42.5;9.84;3.7;43.19;14.52;8.8;11.65;14.94;-261.08;21.79;9.72
1981;3;8;08/03/1981;11;3.86;6.29;69.75;0.0;99.26;5.18;3.27;53.44;7.47;1.51;53.75;13.22;6.94;10.08;14.01;-262.56;19.63;9.04
1981;3;9;09/03/1981;11;1.8;4.94;60.12;0.0;99.38;2.52;3.02;161.38;3.66;5.55;161.44;12.55;3.44;8.0;13.11;-259.19;19.9;5.94
1981;3;10;10/03/1981;11;1.66;5.37;50.94;0.0;99.25;2.62;2.66;153.5;4.02;5.78;152.94;15.44;4.55;10.0;15.75;-256.91;24.0;7.76
1981;3;11;11/03/1981;11;1.8;5.92;53.31;0.0;99.14;2.73;2.53;162.44;4.03;4.27;161.88;16.5;6.13;11.32;16.82;-258.24;24.04;9.14
1981;3;12;12/03/1981;11;2.32;5.74;44.12;0.0;98.75;3.45;3.98;222.0;4.94;5.87;222.5;18.94;5.51;12.23;18.46;-256.38;27.56;10.8
1981;3;13;13/03/1981;11;2.84;5.31;37.12;0.0;98.27;4.25;3.64;256.0;6.54;3.69;256.38;20.02;4.45;12.23;19.81;-258.56;27.81;13.23
1981;3;14;14/03/1981;11;2.48;5.8;38.62;0.0;97.95;3.59;5.3;85.88;5.15;8.2;87.19;20.96;5.55;13.26;20.81;-258.38;29.26;14.48
1981;3;15;15/03/1981;12;2.82;4.88;34.25;0.0;97.79;4.18;4.3;210.81;6.18;4.4;211.25;20.66;3.03;11.85;20.07;-256.58;30.31;13.74
1981;3;16;16/03/1981;12;2.01;5.98;40.44;0.0;98.03;3.06;2.9;217.81;4.49;3.67;217.06;19.84;5.61;12.73;19.8;-259.94;26.83;13.62
1981;3;17;17/03/1981;12;4.27;4.39;30.19;0.86;97.42;6.01;7.02;195.81;8.99;7.2;195.75;22.6;0.58;11.59;22.15;-256.36;32.41;15.62
1981;3;18;18/03/1981;12;4.48;6.16;58.62;0.61;97.66;5.99;7.12;306.19;7.8;6.93;320.0;14.52;6.14;10.33;15.45;-265.4;18.08;10.33
1981;3;19;19/03/1981;12;2.98;3.6;41.25;0.0;98.35;4.14;4.38;258.06;5.96;5.86;258.12;12.46;-1.11;5.68;13.11;-259.38;19.13;5.37
1981;3;20;20/03/1981;12;1.98;3.11;32.19;0.0;98.34;3.06;4.96;161.44;4.66;7.41;160.62;14.73;-2.89;5.92;15.19;-256.99;23.27;7.11
1981;3;21;21/03/1981;12;1.73;3.17;29.38;0.0;98.39;2.84;2.79;236.0;4.22;5.21;236.25;16.51;-2.75;6.88;16.65;-256.95;25.3;9.11
1981;3;22;22/03/1981;13;2.55;4.03;34.12;0.0;98.52;3.7;6.3;270.06;5.1;7.17;269.88;16.9;0.55;8.73;16.86;-259.56;24.25;10.65
1981;3;23;23/03/1981;13;2.5;4.33;39.56;0.0;98.51;3.66;4.0;126.81;5.33;6.06;127.12;15.71;1.47;8.58;15.95;-258.87;23.12;8.84
1981;3;24;24/03/1981;13;2.27;5.13;47.88;0.0;98.9;3.39;3.87;63.31;5.26;5.92;62.94;16.03;3.87;9.95;17.1;-256.7;24.72;8.26
1981;3;25;25/03/1981;13;1.83;5.07;40.12;0.0;98.91;2.66;5.3;136.94;3.94;7.62;136.81;18.62;3.75;11.19;19.05;-257.62;26.11;10.58
1981;3;26;26/03/1981;13;1.8;5.43;38.56;0.0;98.64;2.55;4.02;188.12;3.88;7.05;188.25;20.69;4.78;12.74;20.22;-257.31;27.94;12.1
1981;3;27;27/03/1981;13;1.57;5.8;33.81;0.0;98.26;2.4;4.5;131.0;3.52;7.41;130.56;23.36;5.55;14.45;23.46;-257.39;30.83;15.08
1981;3;28;28/03/1981;13;2.51;6.04;35.19;0.0;97.93;3.38;4.78;150.69;4.81;7.21;150.56;24.14;6.01;15.08;24.03;-256.93;31.92;15.71
1981;3;29;29/03/1981;14;3.52;4.03;23.19;0.0;97.65;5.17;5.22;171.38;7.7;5.18;171.81;23.92;0.25;12.08;23.57;-255.43;33.65;15.94
1981;3;30;30/03/1981;14;6.02;3.6;19.25;0.0;97.2;8.1;5.9;195.69;11.27;6.42;195.88;24.96;-1.24;11.87;24.83;-253.56;35.25;15.66
1981;3;31;31/03/1981;14;5.71;4.7;43.19;0.19;98.0;7.57;6.84;263.81;9.84;5.2;264.25;15.31;2.36;8.83;16.14;-264.69;19.98;11.51
1981;4;1;01/04/1981;14;3.55;4.27;39.06;0.0;98.33;4.97;5.58;260.31;7.38;6.4;260.62;15.82;1.29;8.55;16.57;-258.67;23.26;8.79
1981;4;2;02/04/1981;14;2.33;2.99;26.94;0.0;98.25;3.38;5.1;212.69;4.92;7.48;212.94;18.01;-3.83;7.09;17.62;-255.45;26.87;9.18
1981;4;3;03/04/1981;14;3.68;2.44;17.62;0.0;97.98;5.21;5.78;192.81;7.47;7.38;193.31;20.73;-6.02;7.35;19.64;-253.74;31.27;11.86
1981;4;4;04/04/1981;14;2.85;4.39;33.75;0.0;98.2;4.11;3.42;336.94;6.46;5.64;336.81;18.8;1.55;10.17;19.47;-256.24;27.59;10.69
1981;4;5;05/04/1981;15;2.17;5.37;46.5;0.0;98.44;3.19;3.09;166.0;5.12;6.16;164.94;17.63;4.46;11.05;19.0;-257.07;25.76;9.69
1981;4;6;06/04/1981;15;2.93;4.88;40.69;0.0;98.61;4.09;5.32;88.31;6.01;7.77;88.88;18.3;3.03;10.66;19.51;-258.1;26.08;11.03
1981;4;7;07/04/1981;15;3.21;4.64;34.19;0.0;98.71;4.43;5.41;100.81;6.86;9.13;101.12;20.34;2.47;11.4;21.33;-254.45;30.03;11.34
1981;4;8;08/04/1981;15;3.81;4.27;28.5;0.0;98.93;5.2;3.23;101.81;7.84;5.7;102.06;22.07;1.26;11.67;22.73;-255.85;31.41;14.12
1981;4;9;09/04/1981;15;3.17;3.85;25.12;0.0;99.02;4.4;5.62;117.94;6.3;8.28;118.0;22.65;-0.24;11.2;22.68;-254.96;31.83;13.65
1981;4;10;10/04/1981;15;2.09;2.99;18.44;0.0;98.7;3.2;2.01;173.62;5.09;5.91;173.81;22.71;-3.36;9.67;22.9;-256.05;31.61;14.51
1981;4;11;11/04/1981;15;3.0;3.72;21.12;0.0;98.11;4.34;3.5;125.94;7.05;6.05;126.25;24.3;-0.75;11.78;24.01;-257.06;32.45;16.37
1981;4;12;12/04/1981;16;3.81;4.03;21.31;0.0;97.72;5.23;7.33;121.31;7.9;10.76;126.81;26.03;0.09;13.06;26.39;-255.42;35.8;18.07
1981;4;13;13/04/1981;16;4.83;7.93;49.31;0.0;97.86;6.31;5.1;70.38;7.83;6.94;71.5;23.23;9.93;16.58;24.55;-256.31;32.94;16.11
1981;4;14;14/04/1981;16;5.15;7.93;58.31;0.0;98.25;6.67;3.22;45.25;7.95;3.88;46.0;19.77;10.21;14.99;21.32;-259.06;27.69;13.59
1981;4;15;15/04/1981;16;5.11;6.1;49.81;0.01;98.61;6.67;3.38;67.56;8.45;3.09;68.5;19.04;5.86;12.45;20.41;-259.55;26.68;13.08
1981;4;16;16/04/1981;16;3.12;4.82;31.31;0.0;97.85;4.25;6.62;150.06;5.7;7.81;151.0;21.2;3.02;12.11;20.62;-260.25;28.09;15.19
1981;4;17;17/04/1981;16;2.52;5.55;39.31;0.0;97.35;3.42;3.91;277.44;5.09;6.62;277.81;19.94;4.87;12.41;22.05;-257.74;27.61;12.21
1981;4;18;18/04/1981;16;2.73;5.55;38.94;0.0;97.64;3.84;3.73;216.69;5.8;4.42;215.81;20.89;4.51;12.7;21.96;-259.82;28.07;14.74
1981;4;19;19/04/1981;17;2.68;4.39;32.31;0.0;98.13;3.73;5.7;91.56;5.7;8.51;91.19;19.85;1.55;10.69;21.62;-257.85;27.65;12.35
1981;4;20;20/04/1981;17;3.28;5.92;46.19;0.0;98.16;4.49;4.42;81.0;5.98;5.75;80.88;20.22;5.56;12.89;21.57;-256.29;28.66;11.8
1981;4;21;21/04/1981;17;4.29;5.07;31.5;0.0;97.38;5.91;5.93;121.19;8.41;4.64;122.06;23.65;3.16;13.41;23.87;-252.92;34.49;14.26
1981;4;22;22/04/1981;17;3.71;2.81;15.0;0.0;97.06;5.24;6.88;225.88;7.84;7.72;226.5;24.44;-4.37;10.04;24.25;-255.55;33.26;15.67
1981;4;23;23/04/1981;17;4.14;2.32;13.88;0.0;97.37;5.81;9.91;227.06;8.35;11.77;227.62;23.14;-6.86;8.14;22.55;-256.42;31.66;14.93
1981;4;24;24/04/1981;17;1.62;3.42;21.0;0.0;98.11;2.38;2.09;202.62;3.24;4.86;201.69;21.97;-1.9;10.03;22.79;-256.49;29.83;13.18
1981;4;25;25/04/1981;17;3.8;3.3;18.81;0.03;98.29;5.31;5.59;180.06;7.53;7.58;180.75;24.09;-2.77;10.65;23.96;-257.85;32.16;16.87
1981;4;26;26/04/1981;18;4.58;6.47;36.44;0.4;98.01;6.16;6.19;247.12;8.74;4.67;247.19;23.62;6.83;15.23;23.98;-264.14;29.02;20.01
1981;4;27;27/04/1981;18;2.43;5.07;31.31;0.0;98.22;3.34;4.39;159.38;4.95;7.02;158.5;22.46;3.54;13.0;24.61;-260.38;28.94;16.17
1981;4;28;28/04/1981;18;2.69;8.18;45.62;0.0;98.01;3.61;5.47;81.88;4.67;6.48;83.88;24.11;10.61;17.36;24.31;-256.24;32.8;15.9
1981;4;29;29/04/1981;18;2.04;7.93;40.81;0.01;98.0;2.75;6.47;159.88;3.75;8.15;159.81;25.69;9.84;17.76;26.65;-261.01;32.62;20.48
1981;4;30;30/04/1981;18;4.41;8.36;40.25;1.2;97.77;5.95;3.75;183.12;8.39;2.8;183.56;26.0;10.91;18.46;26.23;-262.02;32.91;21.78
1981;5;1;01/05/1981;18;3.84;5.13;27.31;0.02;97.45;5.18;5.41;255.5;7.77;7.36;255.06;25.81;2.62;14.22;26.76;-260.88;32.38;20.12
1981;5;2;02/05/1981;18;3.37;4.39;28.31;0.0;97.94;4.58;4.39;327.0;6.38;5.43;326.75;21.49;1.66;11.58;23.18;-261.15;27.79;15.79
